id,phase,phase_title,owner,stage,depends_on,work,acceptance,state
E21-O03,E21,Accessible architectural workflow,accessibility,P1 + UX-8,"E10, E19, E20","Verify contrast, non-colour states, target sizes, reduced motion and reflow/zoom across active surfaces.",Applicable WCAG 2.2 AA criteria have criterion-level evidence and exceptions are explicit; screenshots alone cannot pass the gate.,planned
E21-O04,E21,Accessible architectural workflow,accessibility,P1 + UX-8,"E10, E19, E20",Run VoiceOver/Safari and NVDA/supported Windows browser sessions with users where feasible.,"Assistive-technology version, tasks, barriers and fixes are recorded; the protected workflow passes after final integration.",planned
E22-O01,E22,"Browser, tablet, phone and input matrix",accessibility,P1 + UX-1/8,"E10, E20",Reconcile #362 vendor capability matrix and #363 three-engine smoke evidence with actual supported OS/device policy.,"Chromium, Firefox and WebKit tests name exact versions; engine simulation never stands for real Safari or iPad evidence.",planned
E22-O02,E22,"Browser, tablet, phone and input matrix",accessibility,P1 + UX-1/8,"E10, E20","Define desktop authoring, iPad authoring and phone review/light-edit scope explicitly.",Each supported command has a tested input route; unavailable device features are explained rather than compressed into unusable controls.,planned
E22-O03,E22,"Browser, tablet, phone and input matrix",accessibility,P1 + UX-1/8,"E10, E20","Test pen/touch/mouse/trackpad transitions, palm interference, pointer cancel/capture, orientation, virtual keyboard and safe areas.","No accidental geometry commits, blocked dialogs or hidden export/recovery controls on supported hardware.",planned
E22-O04,E22,"Browser, tablet, phone and input matrix",accessibility,P1 + UX-1/8,"E10, E20",Capture responsive/theme/critical-state visual matrix and validate 200% zoom and narrow widths.,Real devices satisfy published claims; unsupported Firefox/OS or Pencil combinations remain excluded until their own gate passes.,planned
E23-O01,E23,"Performance, scale and lifecycle endurance",rendering-performance,P1 + UX-8,"E18, E20","Measure the protected 1,000-object house on representative physical hardware, cold/warm open and realistic storage.","Reports include workload, device, browser, percentiles, peak memory and variance; inherited CI medians are not physical-device certification.",planned
E23-O02,E23,"Performance, scale and lifecycle endurance",rendering-performance,P1 + UX-8,"E18, E20",Enforce interactive/open/select/hover/commit/undo/PDF and bundle budgets from the existing performance contract.,p95/p99 and memory ceilings are calibrated and accepted before beta; no hot path exceeds its approved budget without a release decision.,planned
E23-O03,E23,"Performance, scale and lifecycle endurance",rendering-performance,P1 + UX-8,"E18, E20","Improve Worker backpressure, stale-result cancellation, incremental derivation and resource lifetime from profiling.",Rapid edits and slow workers do not grow unbounded queues or apply stale geometry.,planned
E23-O04,E23,"Performance, scale and lifecycle endurance",rendering-performance,P1 + UX-8,"E18, E20","Run repeated open/close, A→B→A, sheet/3D switching and long-session soak with leak detection.",Worker counts and retained memory plateau after cleanup; performance degrades explicitly before data integrity is at risk.,planned
E24-O01,E24,"Diagnostics, support and incident readiness",incident-commander,P1,"E07, E09","Wire local diagnostic IDs, operation/revision context and error taxonomy through storage, import, rendering and UI.",A failure can be traced across layers without uploading raw project content by default.,planned
E24-O02,E24,"Diagnostics, support and incident readiness",incident-commander,P1,"E07, E09","Build redacted opt-in support bundles, preview/export and privacy controls.","Secrets, paths, account identifiers and project contents are excluded or explicitly consented; tests exercise realistic leakage cases.",planned
E24-O03,E24,"Diagnostics, support and incident readiness",incident-commander,P1,"E07, E09","Prepare support knowledge base, recovery scripts, escalation roles and incident severity response.","A support rehearsal diagnoses a failed save, helps export a verified copy and records a reproducible issue with the correct build.",planned
E24-O04,E24,"Diagnostics, support and incident readiness",incident-commander,P1,"E07, E09","Define service hours, crash reporting consent, retention and post-incident review.","Every critical incident has containment, customer communication, regression fixture and an accountable closure owner.",planned
E25-O01,E25,Protected Core integration and defect closure,qa-release,P1 gate,"E03, E04, E05, E06, E07, E08, E09, E10, E11, E12, E13, E14, E15, E16, E17, E18, E19, E20, E21, E22, E23, E24",Run New → underlay → walls/openings/rooms → dimensions/notes → levels/Plan/3D → sheet/PDF → publish → close → fresh reopen.,Exact candidate build completes the supported journey without manual state repair and with semantic/visual/document agreement.,planned
E25-O02,E25,Protected Core integration and defect closure,qa-release,P1 gate,"E03, E04, E05, E06, E07, E08, E09, E10, E11, E12, E13, E14, E15, E16, E17, E18, E19, E20, E21, E22, E23, E24","Turn every relevant anticipated risk, edge case and QA catalogue row into implemented test evidence, justified exclusion or an open owned defect.","All 168 risks, 84 edge cases and 309 QA rows are accounted for; risk records are never relabelled confirmed bugs without reproduction.",planned
E25-O03,E25,Protected Core integration and defect closure,qa-release,P1 gate,"E03, E04, E05, E06, E07, E08, E09, E10, E11, E12, E13, E14, E15, E16, E17, E18, E19, E20, E21, E22, E23, E24","Inject failures at transaction, Worker, file, parser, render, update and recovery boundaries.","No known silent committed-data loss, semantic corruption, wrong-project write, false durability or unrecoverable migration remains.",planned
E25-O04,E25,Protected Core integration and defect closure,qa-release,P1 gate,"E03, E04, E05, E06, E07, E08, E09, E10, E11, E12, E13, E14, E15, E16, E17, E18, E19, E20, E21, E22, E23, E24",Run regression triage and CTO integration review after fixes.,Zero open P0/P1 in the release scope; flaky critical tests fail the gate rather than being quarantined out of sight; final evidence fingerprints the candidate tree and artefacts.,planned
E26-O01,E26,"Name, legal, commercial and policy readiness",product-architecture,P1A + GA,"E01, E02",Complete working-name/domain/store clearance and identify the legal owner; reconcile public repository visibility with proprietary/confidential wording.,Recorded decisions and reviewed licence/terms match actual distribution; automated planning makes no licence or visibility change.,planned
E26-O02,E26,"Name, legal, commercial and policy readiness",product-architecture,P1A + GA,"E01, E02","Review privacy, terms, acceptable use, AI data use, contributor and third-party distribution obligations.",Required expert decisions are resolved for each launch market/channel and policy statements match observed data flows.,planned
E26-O03,E26,"Name, legal, commercial and policy readiness",product-architecture,P1A + GA,"E01, E02","Validate pricing, free/paid boundaries, entitlements, cancellation/refund rules and service economics.",Customer files remain accessible independent of paid service state; cost assumptions and paid feature promises are explicit.,planned
E26-O04,E26,"Name, legal, commercial and policy readiness",product-architecture,P1A + GA,"E01, E02","Assign support, retention, backup, abuse and incident owners with budget and operating capacity.","Alpha has necessary consent/support controls; GA has complete applicable policy and commercial decisions, without claiming legal compliance from this plan.",planned
E27-O01,E27,"Public website, onboarding and product education",ui-visual,P1 + public W0-W6,"E02, E10",Reconcile draft #495 with both branches and existing local marketing changes; validate its PUB-001 slice before page-family rollout.,"Screenshots, responsive/zoom, route, build and governed-claim checks pass at the intended marketing revision.",planned
E27-O02,E27,"Public website, onboarding and product education",ui-visual,P1 + public W0-W6,"E02, E10",Complete the 17 public routes and relevant auth/app page states with truthful stage-specific claims.,"Every CTA leads to an available try/download/help path; decorative examples cannot be mistaken for saved, synchronised or generated production results.",planned
E27-O03,E27,"Public website, onboarding and product education",ui-visual,P1 + public W0-W6,"E02, E10","Create guided first project, sample files, keyboard/tool help, recovery education and migration/release notes.",Instructions are verified against the shipped UI and users can independently reopen a downloaded project.,planned
