id,number,title,area,phase,epic,priority,labels,dependencies,file
ARQ-019,19,design: create typography tokens,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-018,backlog/issues/019-design-create-typography-tokens.md
ARQ-020,20,design: create icon package,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-019,backlog/issues/020-design-create-icon-package.md
ARQ-021,21,design: draw first 20 technical icons,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-020,backlog/issues/021-design-draw-first-20-technical-icons.md
ARQ-022,22,design: draw remaining first 40 technical icons,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-021,backlog/issues/022-design-draw-remaining-first-40-technical-icons.md
ARQ-023,23,design: build top bar,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-022,backlog/issues/023-design-build-top-bar.md
ARQ-024,24,design: build tool rail,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-023,backlog/issues/024-design-build-tool-rail.md
ARQ-025,25,design: build model panel,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-024,backlog/issues/025-design-build-model-panel.md
ARQ-026,26,design: build inspector shell,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-025,backlog/issues/026-design-build-inspector-shell.md
ARQ-027,27,design: build status bar,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-026,backlog/issues/027-design-build-status-bar.md
ARQ-028,28,design: build context bar,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-027,backlog/issues/028-design-build-context-bar.md
ARQ-029,29,design: build command palette shell,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-028,backlog/issues/029-design-build-command-palette-shell.md
ARQ-030,30,design: prototype iPad landscape shell,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-029,backlog/issues/030-design-prototype-ipad-landscape-shell.md
ARQ-031,31,design: prototype iPad portrait shell,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-030,backlog/issues/031-design-prototype-ipad-portrait-shell.md
ARQ-032,32,editor: define coordinate systems,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-031,backlog/issues/032-editor-define-coordinate-systems.md
ARQ-033,33,editor: implement pan and zoom,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-032,backlog/issues/033-editor-implement-pan-and-zoom.md
ARQ-034,34,editor: implement fit view,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-033,backlog/issues/034-editor-implement-fit-view.md
ARQ-035,35,editor: implement pointer input abstraction,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-034,backlog/issues/035-editor-implement-pointer-input-abstraction.md
ARQ-036,36,editor: implement touch input abstraction,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-035,backlog/issues/036-editor-implement-touch-input-abstraction.md
ARQ-037,37,editor: implement keyboard input abstraction,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-036,backlog/issues/037-editor-implement-keyboard-input-abstraction.md
ARQ-038,38,editor: define command lifecycle state machine,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-037,backlog/issues/038-editor-define-command-lifecycle-state-machine.md
ARQ-039,39,editor: implement selection hit-test interface,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-038,backlog/issues/039-editor-implement-selection-hit-test-interface.md
ARQ-040,40,editor: implement point selection,editor,Phase 1,Editor interaction,critical,type: feature;area: editor;priority: critical;state: ready,ARQ-039,backlog/issues/040-editor-implement-point-selection.md
ARQ-041,41,editor: implement window selection,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-040,backlog/issues/041-editor-implement-window-selection.md
ARQ-042,42,editor: implement crossing selection,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-041,backlog/issues/042-editor-implement-crossing-selection.md
ARQ-043,43,editor: implement candidate cycling,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-042,backlog/issues/043-editor-implement-candidate-cycling.md
ARQ-044,44,editor: implement selection filters,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-043,backlog/issues/044-editor-implement-selection-filters.md
ARQ-045,45,editor: define snap result contract,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-044,backlog/issues/045-editor-define-snap-result-contract.md
ARQ-046,46,editor: implement endpoint snap,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-045,backlog/issues/046-editor-implement-endpoint-snap.md
ARQ-047,47,editor: implement midpoint snap,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-046,backlog/issues/047-editor-implement-midpoint-snap.md
ARQ-048,48,editor: implement intersection snap,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-047,backlog/issues/048-editor-implement-intersection-snap.md
ARQ-049,49,editor: implement perpendicular snap,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-048,backlog/issues/049-editor-implement-perpendicular-snap.md
ARQ-050,50,editor: implement grid snap,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-049,backlog/issues/050-editor-implement-grid-snap.md
ARQ-051,51,editor: implement extension snap,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-050,backlog/issues/051-editor-implement-extension-snap.md
ARQ-052,52,editor: implement snap tie-break,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-051,backlog/issues/052-editor-implement-snap-tie-break.md
ARQ-053,53,editor: implement numeric overlay,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-052,backlog/issues/053-editor-implement-numeric-overlay.md
ARQ-054,54,editor: support metric numeric input,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-053,backlog/issues/054-editor-support-metric-numeric-input.md
ARQ-055,55,editor: support imperial numeric input,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-054,backlog/issues/055-editor-support-imperial-numeric-input.md
ARQ-056,56,editor: implement undo command stack,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-055,backlog/issues/056-editor-implement-undo-command-stack.md
ARQ-057,57,editor: implement redo,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-056,backlog/issues/057-editor-implement-redo.md
ARQ-058,58,core: select canonical unit representation,core,Phase 1,Core model,high,type: feature;area: core;priority: high;state: blocked,ARQ-057,backlog/issues/058-core-select-canonical-unit-representation.md
ARQ-059,59,core: define typed unit library,core,Phase 1,Core model,high,type: feature;area: core;priority: high;state: blocked,ARQ-058,backlog/issues/059-core-define-typed-unit-library.md
ARQ-060,60,core: define ID types,core,Phase 1,Core model,high,type: feature;area: core;priority: high;state: blocked,ARQ-059,backlog/issues/060-core-define-id-types.md
ARQ-061,61,core: define project schema v0,core,Phase 1,Core model,high,type: feature;area: core;priority: high;state: blocked,ARQ-060,backlog/issues/061-core-define-project-schema-v0.md
ARQ-062,62,core: define level schema,core,Phase 1,Core model,high,type: feature;area: core;priority: high;state: blocked,ARQ-061,backlog/issues/062-core-define-level-schema.md
ARQ-063,63,core: define element base schema,core,Phase 1,Core model,high,type: feature;area: core;priority: high;state: blocked,ARQ-062,backlog/issues/063-core-define-element-base-schema.md
ARQ-064,64,core: define type and instance property states,core,Phase 1,Core model,high,type: feature;area: core;priority: high;state: blocked,ARQ-063,backlog/issues/064-core-define-type-and-instance-property-states.md
ARQ-065,65,operations: define operation contract,operations,Phase 1,Operations and undo,high,type: feature;area: operations;priority: high;state: blocked,ARQ-064,backlog/issues/065-operations-define-operation-contract.md
ARQ-066,66,operations: define validation result contract,operations,Phase 1,Operations and undo,high,type: feature;area: operations;priority: high;state: blocked,ARQ-065,backlog/issues/066-operations-define-validation-result-contract.md
ARQ-067,67,operations: implement create element operation,operations,Phase 1,Operations and undo,high,type: feature;area: operations;priority: high;state: blocked,ARQ-066,backlog/issues/067-operations-implement-create-element-operation.md
ARQ-068,68,operations: implement update property operation,operations,Phase 1,Operations and undo,high,type: feature;area: operations;priority: high;state: blocked,ARQ-067,backlog/issues/068-operations-implement-update-property-operation.md
ARQ-069,69,operations: implement delete element operation,operations,Phase 1,Operations and undo,high,type: feature;area: operations;priority: high;state: blocked,ARQ-068,backlog/issues/069-operations-implement-delete-element-operation.md
ARQ-070,70,operations: implement inverse operation tests,operations,Phase 1,Operations and undo,high,type: feature;area: operations;priority: high;state: blocked,ARQ-069,backlog/issues/070-operations-implement-inverse-operation-tests.md
ARQ-071,71,storage: add Dexie project database,storage,Phase 1,Local storage,high,type: feature;area: storage;priority: high;state: blocked,ARQ-070,backlog/issues/071-storage-add-dexie-project-database.md
ARQ-072,72,storage: implement local journal,storage,Phase 1,Local storage,high,type: feature;area: storage;priority: high;state: blocked,ARQ-071,backlog/issues/072-storage-implement-local-journal.md
ARQ-073,73,storage: implement snapshots,storage,Phase 1,Local storage,high,type: feature;area: storage;priority: high;state: blocked,ARQ-072,backlog/issues/073-storage-implement-snapshots.md
ARQ-074,74,storage: implement quota handling,storage,Phase 1,Local storage,high,type: feature;area: storage;priority: high;state: blocked,ARQ-073,backlog/issues/074-storage-implement-quota-handling.md
ARQ-075,75,storage: implement abnormal-exit recovery,storage,Phase 1,Local storage,high,type: feature;area: storage;priority: high;state: blocked,ARQ-074,backlog/issues/075-storage-implement-abnormal-exit-recovery.md
ARQ-076,76,format: define arq manifest,format,Phase 1,Project format,high,type: feature;area: format;priority: high;state: blocked,ARQ-075,backlog/issues/076-format-define-arq-manifest.md
ARQ-077,77,format: implement archive checksums,format,Phase 1,Project format,high,type: feature;area: format;priority: high;state: blocked,ARQ-076,backlog/issues/077-format-implement-archive-checksums.md
ARQ-078,78,format: implement arq export,format,Phase 1,Project format,high,type: feature;area: format;priority: high;state: blocked,ARQ-077,backlog/issues/078-format-implement-arq-export.md
ARQ-079,79,format: implement arq import,format,Phase 1,Project format,high,type: feature;area: format;priority: high;state: blocked,ARQ-078,backlog/issues/079-format-implement-arq-import.md
ARQ-080,80,format: implement migration framework,format,Phase 1,Project format,high,type: feature;area: format;priority: high;state: blocked,ARQ-079,backlog/issues/080-format-implement-migration-framework.md
ARQ-081,81,geometry: define tolerance policy,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-080,backlog/issues/081-geometry-define-tolerance-policy.md
ARQ-082,82,geometry: implement point and vector primitives,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-081,backlog/issues/082-geometry-implement-point-and-vector-primitives.md
ARQ-083,83,geometry: implement segment intersections,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-082,backlog/issues/083-geometry-implement-segment-intersections.md
ARQ-084,84,geometry: implement nearest point,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-083,backlog/issues/084-geometry-implement-nearest-point.md
ARQ-085,85,geometry: implement polygon area and winding,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-084,backlog/issues/085-geometry-implement-polygon-area-and-winding.md
ARQ-086,86,geometry: evaluate robust predicates,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-085,backlog/issues/086-geometry-evaluate-robust-predicates.md
ARQ-087,87,geometry: evaluate polygon clipping,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-086,backlog/issues/087-geometry-evaluate-polygon-clipping.md
ARQ-088,88,geometry: evaluate RBush,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-087,backlog/issues/088-geometry-evaluate-rbush.md
ARQ-089,89,geometry: evaluate earcut,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-088,backlog/issues/089-geometry-evaluate-earcut.md
ARQ-090,90,geometry: build geometry adversarial fixtures,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-089,backlog/issues/090-geometry-build-geometry-adversarial-fixtures.md
ARQ-091,91,bim: define wall type,bim,Phase 2,Building model,high,type: feature;area: bim;priority: high;state: blocked,ARQ-090,backlog/issues/091-bim-define-wall-type.md
ARQ-092,92,bim: define wall instance,bim,Phase 2,Building model,high,type: feature;area: bim;priority: high;state: blocked,ARQ-091,backlog/issues/092-bim-define-wall-instance.md
ARQ-093,93,geometry: implement wall outline,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-092,backlog/issues/093-geometry-implement-wall-outline.md
ARQ-094,94,editor: implement wall drawing tool,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-093,backlog/issues/094-editor-implement-wall-drawing-tool.md
ARQ-095,95,geometry: implement butt join,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-094,backlog/issues/095-geometry-implement-butt-join.md
ARQ-096,96,geometry: implement mitre join,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-095,backlog/issues/096-geometry-implement-mitre-join.md
ARQ-097,97,geometry: implement T join,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-096,backlog/issues/097-geometry-implement-t-join.md
ARQ-098,98,geometry: implement cross join,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-097,backlog/issues/098-geometry-implement-cross-join.md
ARQ-099,99,editor: implement trim wall,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-098,backlog/issues/099-editor-implement-trim-wall.md
ARQ-100,100,editor: implement extend wall,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-099,backlog/issues/100-editor-implement-extend-wall.md
ARQ-101,101,editor: implement split wall,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-100,backlog/issues/101-editor-implement-split-wall.md
ARQ-102,102,editor: implement offset wall,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-101,backlog/issues/102-editor-implement-offset-wall.md
ARQ-103,103,bim: define hosted opening,bim,Phase 2,Building model,high,type: feature;area: bim;priority: high;state: blocked,ARQ-102,backlog/issues/103-bim-define-hosted-opening.md
ARQ-104,104,bim: define door type and instance,bim,Phase 2,Building model,high,type: feature;area: bim;priority: high;state: blocked,ARQ-103,backlog/issues/104-bim-define-door-type-and-instance.md
ARQ-105,105,editor: implement door placement,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-104,backlog/issues/105-editor-implement-door-placement.md
ARQ-106,106,editor: implement door flip controls,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-105,backlog/issues/106-editor-implement-door-flip-controls.md
ARQ-107,107,bim: define window type and instance,bim,Phase 2,Building model,high,type: feature;area: bim;priority: high;state: blocked,ARQ-106,backlog/issues/107-bim-define-window-type-and-instance.md
ARQ-108,108,editor: implement window placement,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-107,backlog/issues/108-editor-implement-window-placement.md
ARQ-109,109,editor: implement opening overlap validation,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-108,backlog/issues/109-editor-implement-opening-overlap-validation.md
ARQ-110,110,bim: define room schema,bim,Phase 2,Building model,high,type: feature;area: bim;priority: high;state: blocked,ARQ-109,backlog/issues/110-bim-define-room-schema.md
ARQ-111,111,geometry: implement room boundary graph,geometry,Phase 1,Geometry,high,type: feature;area: geometry;priority: high;state: blocked,ARQ-110,backlog/issues/111-geometry-implement-room-boundary-graph.md
ARQ-112,112,editor: implement room placement,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-111,backlog/issues/112-editor-implement-room-placement.md
ARQ-113,113,editor: implement zoom to room gap,editor,Phase 1,Editor interaction,high,type: feature;area: editor;priority: high;state: blocked,ARQ-112,backlog/issues/113-editor-implement-zoom-to-room-gap.md
ARQ-114,114,bim: implement room area,bim,Phase 2,Building model,high,type: feature;area: bim;priority: high;state: blocked,ARQ-113,backlog/issues/114-bim-implement-room-area.md
ARQ-115,115,renderer: benchmark Canvas 2D,renderer,Phase 2,Rendering,high,type: feature;area: renderer;priority: high;state: blocked,ARQ-114,backlog/issues/115-renderer-benchmark-canvas-2d.md
ARQ-116,116,renderer: benchmark PixiJS WebGL,renderer,Phase 2,Rendering,high,type: feature;area: renderer;priority: high;state: blocked,ARQ-115,backlog/issues/116-renderer-benchmark-pixijs-webgl.md
ARQ-117,117,renderer: evaluate CanvasKit fallback,renderer,Phase 2,Rendering,high,type: feature;area: renderer;priority: high;state: blocked,ARQ-116,backlog/issues/117-renderer-evaluate-canvaskit-fallback.md
ARQ-118,118,renderer: select 2D renderer through ADR,renderer,Phase 2,Rendering,high,type: feature;area: renderer;priority: high;state: blocked,ARQ-117,backlog/issues/118-renderer-select-2d-renderer-through-adr.md
ARQ-119,119,renderer: implement plan scene abstraction,renderer,Phase 2,Rendering,high,type: feature;area: renderer;priority: high;state: blocked,ARQ-118,backlog/issues/119-renderer-implement-plan-scene-abstraction.md
ARQ-120,120,renderer: implement stable line weights,renderer,Phase 2,Rendering,high,type: feature;area: renderer;priority: high;state: blocked,ARQ-119,backlog/issues/120-renderer-implement-stable-line-weights.md
ARQ-121,121,renderer: implement selection rendering,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-120,backlog/issues/121-renderer-implement-selection-rendering.md
ARQ-122,122,renderer: implement snap glyph rendering,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-121,backlog/issues/122-renderer-implement-snap-glyph-rendering.md
ARQ-123,123,renderer: add Three.js WebGL scene,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-122,backlog/issues/123-renderer-add-three-js-webgl-scene.md
ARQ-124,124,renderer: generate wall meshes,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-123,backlog/issues/124-renderer-generate-wall-meshes.md
ARQ-125,125,renderer: generate opening meshes,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-124,backlog/issues/125-renderer-generate-opening-meshes.md
ARQ-126,126,renderer: implement orthographic camera,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-125,backlog/issues/126-renderer-implement-orthographic-camera.md
ARQ-127,127,renderer: implement orbit and fit,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-126,backlog/issues/127-renderer-implement-orbit-and-fit.md
ARQ-128,128,renderer: implement 2D and 3D shared selection,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-127,backlog/issues/128-renderer-implement-2d-and-3d-shared-selection.md
ARQ-129,129,renderer: implement hide and isolate,renderer,Phase 2,Rendering,normal,type: feature;area: renderer;priority: normal;state: blocked,ARQ-128,backlog/issues/129-renderer-implement-hide-and-isolate.md
ARQ-130,130,inspect: build identity property group,inspect,Phase 2,Inspection,normal,type: feature;area: inspect;priority: normal;state: blocked,ARQ-129,backlog/issues/130-inspect-build-identity-property-group.md
ARQ-131,131,inspect: build geometry property group,inspect,Phase 2,Inspection,normal,type: feature;area: inspect;priority: normal;state: blocked,ARQ-130,backlog/issues/131-inspect-build-geometry-property-group.md
ARQ-132,132,inspect: build type and instance group,inspect,Phase 2,Inspection,normal,type: feature;area: inspect;priority: normal;state: blocked,ARQ-131,backlog/issues/132-inspect-build-type-and-instance-group.md
ARQ-133,133,inspect: build relationships group,inspect,Phase 2,Inspection,normal,type: feature;area: inspect;priority: normal;state: blocked,ARQ-132,backlog/issues/133-inspect-build-relationships-group.md
ARQ-134,134,inspect: build warnings group,inspect,Phase 2,Inspection,normal,type: feature;area: inspect;priority: normal;state: blocked,ARQ-133,backlog/issues/134-inspect-build-warnings-group.md
ARQ-135,135,inspect: build history group,inspect,Phase 2,Inspection,normal,type: feature;area: inspect;priority: normal;state: blocked,ARQ-134,backlog/issues/135-inspect-build-history-group.md
ARQ-136,136,docs: define dimension reference model,docs,Phase 0,Documentation,normal,type: feature;area: docs;priority: normal;state: blocked,ARQ-135,backlog/issues/136-docs-define-dimension-reference-model.md
ARQ-137,137,docs: implement linear dimension,docs,Phase 0,Documentation,normal,type: feature;area: docs;priority: normal;state: blocked,ARQ-136,backlog/issues/137-docs-implement-linear-dimension.md
ARQ-138,138,docs: implement room label,docs,Phase 0,Documentation,normal,type: feature;area: docs;priority: normal;state: blocked,ARQ-137,backlog/issues/138-docs-implement-room-label.md
ARQ-139,139,docs: implement text note,docs,Phase 0,Documentation,normal,type: feature;area: docs;priority: normal;state: blocked,ARQ-138,backlog/issues/139-docs-implement-text-note.md
ARQ-140,140,docs: define sheet schema,docs,Phase 0,Documentation,normal,type: feature;area: docs;priority: normal;state: blocked,ARQ-139,backlog/issues/140-docs-define-sheet-schema.md
ARQ-141,141,docs: build one plan viewport,docs,Phase 0,Documentation,normal,type: feature;area: docs;priority: normal;state: blocked,ARQ-140,backlog/issues/141-docs-build-one-plan-viewport.md
ARQ-142,142,pdf: prototype pdf-lib vector export,pdf,Phase 3,Documentation and PDF,normal,type: feature;area: pdf;priority: normal;state: blocked,ARQ-141,backlog/issues/142-pdf-prototype-pdf-lib-vector-export.md
ARQ-143,143,pdf: implement font embedding tests,pdf,Phase 3,Documentation and PDF,normal,type: feature;area: pdf;priority: normal;state: blocked,ARQ-142,backlog/issues/143-pdf-implement-font-embedding-tests.md
ARQ-144,144,pdf: implement scale validation,pdf,Phase 3,Documentation and PDF,normal,type: feature;area: pdf;priority: normal;state: blocked,ARQ-143,backlog/issues/144-pdf-implement-scale-validation.md
ARQ-145,145,pdf: add export metadata,pdf,Phase 3,Documentation and PDF,normal,type: feature;area: pdf;priority: normal;state: blocked,ARQ-144,backlog/issues/145-pdf-add-export-metadata.md
ARQ-146,146,reliability: implement corrupt cache recovery,reliability,Phase 4,Reliability,normal,type: feature;area: reliability;priority: normal;state: blocked,ARQ-145,backlog/issues/146-reliability-implement-corrupt-cache-recovery.md
ARQ-147,147,reliability: implement safe mode,reliability,Phase 4,Reliability,normal,type: feature;area: reliability;priority: normal;state: blocked,ARQ-146,backlog/issues/147-reliability-implement-safe-mode.md
ARQ-148,148,performance: define benchmark hardware,performance,Phase 4,Performance,normal,type: feature;area: performance;priority: normal;state: blocked,ARQ-147,backlog/issues/148-performance-define-benchmark-hardware.md
ARQ-149,149,performance: add selection benchmark,performance,Phase 4,Performance,normal,type: feature;area: performance;priority: normal;state: blocked,ARQ-148,backlog/issues/149-performance-add-selection-benchmark.md
ARQ-150,150,performance: add room rebuild benchmark,performance,Phase 4,Performance,normal,type: feature;area: performance;priority: normal;state: blocked,ARQ-149,backlog/issues/150-performance-add-room-rebuild-benchmark.md
ARQ-151,151,performance: add render frame benchmark,performance,Phase 4,Performance,normal,type: feature;area: performance;priority: normal;state: blocked,ARQ-150,backlog/issues/151-performance-add-render-frame-benchmark.md
ARQ-152,152,accessibility: complete keyboard-only workflow,accessibility,Phase 4,Accessibility,normal,type: feature;area: accessibility;priority: normal;state: blocked,ARQ-151,backlog/issues/152-accessibility-complete-keyboard-only-workflow.md
ARQ-153,153,accessibility: add VoiceOver labels,accessibility,Phase 4,Accessibility,normal,type: feature;area: accessibility;priority: normal;state: blocked,ARQ-152,backlog/issues/153-accessibility-add-voiceover-labels.md
