id,group,feature,stage,status,dependency,quality_gate,claim_rule
FEAT-078,Architectural model,Beams,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-079,Architectural model,Basic stairs,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-080,Architectural model,Advanced stairs,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-081,Architectural model,Railings,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-082,Architectural model,Ramps,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-083,Architectural model,Roof by footprint,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-084,Architectural model,Roof by extrusion,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-085,Architectural model,Shaft openings,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-086,Architectural model,Generic components,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-087,Architectural model,Groups,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-088,Architectural model,Assemblies,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-089,Architectural model,Parts,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-090,Architectural model,Phases,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-091,Architectural model,Design options,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-092,Architectural model,Demolition and renovation,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-093,Site and context,Site boundary,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-094,Site and context,Property lines,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-095,Site and context,Topography surface,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-096,Site and context,Graded region,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-097,Site and context,Building pad,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-098,Site and context,Parking components,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-099,Site and context,Trees and entourage,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-100,Site and context,Sun study,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-101,Site and context,Geographic location,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-102,Site and context,GIS reference import,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-103,Site and context,Point cloud viewing,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-104,Site and context,Point cloud authoring,Later,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-105,Views,Floor plan,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-106,Views,Reflected ceiling plan,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-107,Views,Orthographic 3D,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-108,Views,Perspective 3D,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-109,Views,Section,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-110,Views,Elevation,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-111,Views,Detail view,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-112,Views,Drafting view,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-113,Views,Legend,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-114,Views,Saved view,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-115,Views,Split view,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-116,Views,View crop,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-117,Views,Annotation crop,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-118,Views,View template,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-119,Views,Visibility classes,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-120,Views,Hide and isolate,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-121,Views,Reveal hidden,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-122,Views,View depth,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-123,Views,Discipline filters,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-124,Views,Presentation mode,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-125,Documentation,Linear dimension,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-126,Documentation,Aligned dimension,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-127,Documentation,Angular dimension,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-128,Documentation,Radial dimension,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-129,Documentation,Spot elevation,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-130,Documentation,Text note,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-131,Documentation,Leader,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-132,Documentation,Room tag,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-133,Documentation,Door tag,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-134,Documentation,Window tag,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-135,Documentation,Generic tag,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-136,Documentation,Keynotes,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-137,Documentation,Revision cloud,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-138,Documentation,Revision schedule,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-139,Documentation,Sheet,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-140,Documentation,Viewport,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-141,Documentation,Title block,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-142,Documentation,Sheet numbering,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-143,Documentation,Sheet set,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-144,Documentation,Print set,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-145,Documentation,Vector PDF,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-146,Documentation,Print preview,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-147,Documentation,Schedules,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-148,Documentation,Door schedule,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-149,Documentation,Window schedule,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-150,Documentation,Room schedule,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-151,Documentation,Material takeoff,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-152,Documentation,Calculated schedule fields,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-153,Documentation,Schedule formatting,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-154,Collaboration and review,Workspace roles,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-155,Collaboration and review,Share link,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-156,Collaboration and review,Viewer,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-157,Collaboration and review,Commenter,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-158,Collaboration and review,Model comments,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-159,Collaboration and review,Sheet comments,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-160,Collaboration and review,Issues,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-161,Collaboration and review,Issue assignment,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-162,Collaboration and review,Revision history,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-163,Collaboration and review,Revision compare,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-164,Collaboration and review,Presence,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-165,Collaboration and review,Live cursors,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-166,Collaboration and review,Element ownership,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-167,Collaboration and review,Offline collaboration,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-168,Collaboration and review,Geometry conflict resolution,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-169,Collaboration and review,Named branches,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-170,Collaboration and review,Approvals,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-171,Collaboration and review,Issued sheet state,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-172,Collaboration and review,BCF exchange,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-173,Interoperability,Image underlay,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-174,Interoperability,PDF underlay,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-175,Interoperability,Arq native file,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-176,Interoperability,PDF export,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-177,Interoperability,CSV schedule export,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-178,Interoperability,DXF import subset,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-179,Interoperability,DXF export subset,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-180,Interoperability,IFC viewing,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-181,Interoperability,IFC property inspection,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-182,Interoperability,IFC import subset,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-183,Interoperability,IFC export subset,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-184,Interoperability,BCF import and export,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-185,Interoperability,GLB export,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-186,Interoperability,STEP selected solids,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-187,Interoperability,DWG licensed conversion,Evidence,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-188,Interoperability,RVT connector,Evidence,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-189,Interoperability,Speckle connector,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-190,Interoperability,Revit connector,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-191,Interoperability,Rhino connector,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-192,Interoperability,AutoCAD connector,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-193,Visualisation,Monochrome technical 3D,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-194,Visualisation,Materials,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-195,Visualisation,Textures,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-196,Visualisation,Sun and shadows,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-197,Visualisation,Ambient occlusion,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-198,Visualisation,Section box,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-199,Visualisation,Exploded view,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-200,Visualisation,Diagram styles,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
