id,category,name,stage,operation,shortcut,inputs,invalid_examples,preview,undo,ipad,accessibility,performance_budget
CMD-025,Draw,Arc three point,R2,CreateElement,,three points,collinear points,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-026,Draw,Arc centre,R2,CreateElement,,centre radius angles,zero sweep,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-027,Draw,Ellipse,R3,CreateElement,,centre axes,zero axis,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-028,Draw,Spline,R3,CreateElement,,control points,insufficient points,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-029,Modify,Move,R1,MoveElement,M,selection and vector,locked or invalid host result,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-030,Modify,Copy,R1,CreateElement,CO,selection and vector,non-copyable category,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-031,Modify,Rotate,R1,RotateElement,R,selection centre angle,constraint violation,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-032,Modify,Mirror,R1,MirrorElement,MI,selection axis,unsupported hosted result,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-033,Modify,Offset,R1,OffsetElement,O,object distance side,self intersection,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-034,Modify,Trim,R1,TrimElement,TR,boundary and target,no intersection,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-035,Modify,Extend,R1,ExtendElement,EX,boundary and target,no extension intersection,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-036,Modify,Split,R1,SplitElement,SL,object and point,point at endpoint,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-037,Modify,Join,R1,JoinElements,J,compatible endpoints,incompatible types,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-038,Modify,Align,R1,AlignElements,AL,reference and target,locked constraint conflict,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-039,Modify,Scale reference content,R1,ScaleReference,SC,reference factor or calibrated points,semantic elements selected,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-040,Modify,Fillet,R2,FilletElements,F,two lines radius,radius too large,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-041,Modify,Chamfer,R2,ChamferElements,CH,two lines distances,distance too large,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-042,Modify,Rectangular array,R2,ArrayElements,AR,count and spacing,count below 2,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-043,Modify,Polar array,R3,ArrayElements,,count angle centre,invalid centre,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-044,Modify,Distribute,R3,DistributeElements,,three or more elements,insufficient selection,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-045,Architecture,Level,R1,CreateElement,,name elevation,duplicate or invalid elevation,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-046,Architecture,Grid,R1,CreateElement,,line and label,duplicate label,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-047,Architecture,Wall,R1,CreateElement,W,type level alignment path,zero length or invalid join,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-048,Architecture,Change wall type,R1,ReplaceType,,walls and type,invalid hosted opening,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-049,Architecture,Edit wall endpoints,R1,UpdateGeometry,,wall endpoint,topology invalid,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-050,Architecture,Set wall join,R1,UpdateRelationship,,end and join mode,unsupported topology,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-051,Architecture,Door,R1,CreateElement,DR,host type offset hand side,outside host or overlap,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-052,Architecture,Window,R1,CreateElement,WN,host type offset sill,outside host or overlap,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-053,Architecture,Opening,R1,CreateElement,OP,host dimensions offset,outside host,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-054,Architecture,Flip door hand,R1,UpdateProperty,,door,clearance invalid,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-055,Architecture,Flip facing,R1,UpdateProperty,,hosted element,unsupported family,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-056,Architecture,Room,R1,CreateElement,RM,seed point name,not enclosed or overlap,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-057,Architecture,Room separation,R2,CreateElement,,boundary line,invalid boundary graph,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-058,Architecture,Slab,R2,CreateElement,FL,closed boundary type level,open or self-intersecting boundary,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-059,Architecture,Column,R2,CreateElement,CL,type level location height,invalid level range,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-060,Architecture,Generic component,R2,CreateElement,CM,type location host,missing host,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-061,Architecture,Ceiling,R3,CreateElement,,boundary type level,invalid boundary,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-062,Architecture,Beam,R3,CreateElement,,type endpoints level,invalid supports,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-063,Architecture,Basic stair,R3,CreateElement,,base top width run,cannot satisfy rise and run,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-064,Architecture,Roof by footprint,R3,CreateElement,,boundary slopes level,invalid closed footprint,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-065,Architecture,Curtain wall,R4,CreateElement,,path type grids,unsupported geometry,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-066,View,Create floor plan,R1,CreateView,,level and template,duplicate protected view name,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-067,View,Create 3D view,R1,CreateView,,camera and style,none,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-068,View,Create section,R2,CreateView,SE,section line depth,zero depth,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-069,View,Create elevation,R2,CreateView,EL,marker location direction,outside model,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-070,View,Hide selection,R1,UpdateView,HH,selection,protected category,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-071,View,Isolate selection,R1,UpdateView,HI,selection,empty selection,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-072,View,Reveal hidden,R2,UpdateView,RH,view,none,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-073,View,Section box,R2,UpdateView,,box,invalid box,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-074,View,Crop view,R2,UpdateView,,crop polygon,invalid polygon,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-075,View,Save view,R1,CreateView,,camera and visibility,duplicate name,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-076,Document,Linear dimension,R1,CreateAnnotation,DI,two semantic references,references unavailable,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-077,Document,Aligned dimension,R1,CreateAnnotation,,references and direction,degenerate direction,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-078,Document,Angular dimension,R2,CreateAnnotation,,two directions,parallel directions,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-079,Document,Radial dimension,R2,CreateAnnotation,,arc or circle,invalid target,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-080,Document,Text note,R1,CreateAnnotation,TX,text and location,empty text,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-081,Document,Leader,R2,CreateAnnotation,,text points target,invalid target,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-082,Document,Room tag,R1,CreateAnnotation,,room and location,room invalid,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-083,Document,Revision cloud,R2,CreateAnnotation,,closed cloud boundary,invalid boundary,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-084,Document,Create sheet,R1,CreateSheet,,number name size,duplicate number,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-085,Document,Place viewport,R1,UpdateSheet,,sheet view location scale,view already placed where restricted,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-086,Document,Edit title block,R1,UpdateSheet,,sheet metadata,required field missing,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-087,Document,Create schedule,R2,CreateSchedule,,category fields filters,unsupported field,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-088,Document,Export PDF,R1,Export,,revision sheets options,blocking validation,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-089,Exchange,Import image,R1,ImportElements,,file scale placement,unsafe or oversized file,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-090,Exchange,Import PDF underlay,R2,ImportElements,,file page calibration,encrypted or unsupported PDF,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-091,Exchange,Import DXF,R2,ImportElements,,file mapping units,unsupported entity or unsafe file,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-092,Exchange,Export DXF,R2,Export,,views mapping,unsupported authored object,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-093,Exchange,Open IFC viewer,R2,ImportReference,,IFC file,unsafe or unsupported schema,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-094,Exchange,Export IFC subset,R3,Export,,revision mapping,blocking mapping error,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-095,Review,Add comment,R2,CreateComment,,target and body,permission or deleted target,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-096,Review,Create issue,R2,CreateIssue,,title target assignee,permission or invalid target,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-097,Review,Resolve issue,R2,UpdateIssue,,issue resolution,permission,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-098,Review,Compare revisions,R2,ChangeView,,two revisions,missing snapshot,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-099,AI,Explain selection,R3,AIExplain,,selection and context,no selection,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-100,AI,Explain warning,R3,AIExplain,,validation code,unknown code,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-101,AI,Propose bounded edit,R3,AIProposal,,request scope current revision,ambiguous or unsafe request,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-102,AI,Apply AI proposal,R3,ApplyAIProposal,,validated proposal,stale revision or blocking error,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-103,File,New project,R1,CreateProject,Cmd/Ctrl N,name units template,invalid name or storage unavailable,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-104,File,Open .arq,R1,OpenProject,Cmd/Ctrl O,file,unsupported or corrupt format,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-105,File,Export .arq,R1,ExportProject,,revision destination,integrity failure,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-106,File,Recover project,R1,RecoverProject,,working copy journal,migration or corruption,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-107,File,Run diagnostics,R1,OpenPanel,,project,none,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
