id,title,route,access,goal,file
APP-006,Import project,/app/import,signed-in,Import an Arq archive or supported reference format.,docs/pages/APP-006-import-project.md
APP-007,Workspace members,/app/workspace/members,administrator,Manage membership and roles.,docs/pages/APP-007-workspace-members.md
APP-008,Workspace settings,/app/workspace/settings,administrator,Manage workspace identity and defaults.,docs/pages/APP-008-workspace-settings.md
APP-009,Account settings,/app/account,signed-in,"Manage profile, authentication and privacy.",docs/pages/APP-009-account-settings.md
APP-010,Billing,/app/billing,owner,"Manage approved subscription, invoices and entitlements.",docs/pages/APP-010-billing.md
PROJ-001,Plan editor,/app/projects/:id/plan/:viewId,editor,Primary plan authoring surface.,docs/pages/PROJ-001-plan-editor.md
PROJ-002,3D editor,/app/projects/:id/3d/:viewId,editor,Coordinated model view and selected editing.,docs/pages/PROJ-002-3d-editor.md
PROJ-003,Split view,/app/projects/:id/split,editor,Display coordinated plan and 3D.,docs/pages/PROJ-003-split-view.md
PROJ-004,Sheet editor,/app/projects/:id/sheets/:sheetId,editor,Lay out a plan viewport and export a sheet.,docs/pages/PROJ-004-sheet-editor.md
PROJ-005,Inspect mode,/app/projects/:id/inspect,editor,"Inspect identity, properties, relationships and warnings.",docs/pages/PROJ-005-inspect-mode.md
PROJ-006,Document mode,/app/projects/:id/document,editor,"Manage views, annotations, schedules and sheets.",docs/pages/PROJ-006-document-mode.md
PROJ-007,Review mode,/app/projects/:id/review,commenter,"Review comments, issues and revisions.",docs/pages/PROJ-007-review-mode.md
PROJ-008,Present mode,/app/projects/:id/present,viewer,Navigate saved views without accidental edits.,docs/pages/PROJ-008-present-mode.md
PROJ-009,Comments,/app/projects/:id/comments,commenter,List and resolve model and sheet comments.,docs/pages/PROJ-009-comments.md
PROJ-010,Issues,/app/projects/:id/issues,commenter,Track actionable design issues.,docs/pages/PROJ-010-issues.md
PROJ-011,Version history,/app/projects/:id/history,viewer,Show snapshots and operations.,docs/pages/PROJ-011-version-history.md
PROJ-012,Revision compare,/app/projects/:id/compare/:a/:b,viewer,Compare two revisions.,docs/pages/PROJ-012-revision-compare.md
PROJ-013,Import report,/app/projects/:id/imports/:importId,editor,"Explain imported, converted and unsupported content.",docs/pages/PROJ-013-import-report.md
PROJ-014,Export dialog,/app/projects/:id/export,editor,"Choose format, scope and validation.",docs/pages/PROJ-014-export-dialog.md
PROJ-015,Export report,/app/projects/:id/exports/:exportId,viewer,"Show included, omitted and failed content.",docs/pages/PROJ-015-export-report.md
PROJ-016,Project settings,/app/projects/:id/settings,administrator,"Manage units, precision, permissions and archive.",docs/pages/PROJ-016-project-settings.md
PROJ-017,Share project,/app/projects/:id/share,administrator,Invite users and create controlled share links.,docs/pages/PROJ-017-share-project.md
PROJ-018,Recovery,/app/recovery/:projectId,editor,Restore locally journalled work safely.,docs/pages/PROJ-018-recovery.md
PROJ-019,Sync conflict,/app/projects/:id/conflict,editor,Resolve rejected or conflicting operations.,docs/pages/PROJ-019-sync-conflict.md
PROJ-020,Diagnostics,/app/projects/:id/diagnostics,administrator,"Inspect performance, memory, errors and support bundle.",docs/pages/PROJ-020-diagnostics.md
PROJ-021,Command palette,overlay,editor,"Search commands, views, objects, settings and help.",docs/pages/PROJ-021-command-palette.md
PROJ-022,Keyboard shortcuts,overlay,signed-in,Show and search active shortcuts.,docs/pages/PROJ-022-keyboard-shortcuts.md
PROJ-023,Onboarding project,/app/onboarding,signed-in,Teach the benchmark workflow inside a real project.,docs/pages/PROJ-023-onboarding-project.md
PROJ-024,Model health,panel,editor,Summarise blocking errors and warnings.,docs/pages/PROJ-024-model-health.md
PROJ-025,AI proposal,panel,editor,"Show intent, assumptions, operations, preview and validation.",docs/pages/PROJ-025-ai-proposal.md
